TestData_Name, TestData_Accuracy, Precision, Recall, F1 Score, MeanValue IoU, Bottle, Box, Candle, Coffee_Mug, Flowerpot, Footwear, Glass, Void
Image100_Color, 0.836676, 1.000000, 0.836676, 0.911077, 0.167335, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
Image101_Color, 0.858838, 1.000000, 0.858838, 0.924059, 0.143140, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000
Image10_Color, 0.960635, 0.962105, 0.960635, 0.961369, 0.496462, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.997212
Image11_Color, 0.954580, 0.954986, 0.954580, 0.954783, 0.496702, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.996903
Image12_Color, 0.964388, 0.958358, 0.964388, 0.961364, 0.495340, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.992207
Image13_Color, 0.972617, 0.966192, 0.972617, 0.969394, 0.496690, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.993387
Image14_Color, 0.963210, 0.960052, 0.963210, 0.961628, 0.497478, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995837
Image15_Color, 0.971976, 0.967838, 0.971976, 0.969902, 0.497605, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995476
Image16_Color, 0.846960, 1.000000, 0.846960, 0.917139, 0.423480, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000
Image17_Color, 0.948844, 0.953472, 0.948844, 0.951152, 0.497226, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999650
Image18_Color, 0.850671, 1.000000, 0.850671, 0.919311, 0.425335, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000
